Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
HSCL,2023-09-11 00:00:00+05:30,276.34,278.59,224.67,241.34,43574367,0.0,0.0
HSCL,2023-09-18 00:00:00+05:30,245.64,245.64,229.66,233.3,5642075,0.0,0.0
HSCL,2023-09-25 00:00:00+05:30,233.65,254.87,231.51,243.04,10576942,0.0,0.0
HSCL,2023-10-02 00:00:00+05:30,243.04,257.52,239.74,246.88,7577950,0.0,0.0
HSCL,2023-10-09 00:00:00+05:30,239.79,261.76,233.85,257.22,12731505,0.0,0.0
HSCL,2023-10-16 00:00:00+05:30,258.52,270.8,251.73,259.86,13781725,0.0,0.0
HSCL,2023-10-23 00:00:00+05:30,261.26,261.81,223.67,238.4,7862163,0.0,0.0
HSCL,2023-10-30 00:00:00+05:30,239.25,247.23,234.85,243.39,4178280,0.0,0.0
HSCL,2023-11-06 00:00:00+05:30,244.39,259.61,244.39,248.43,4851592,0.0,0.0
HSCL,2023-11-13 00:00:00+05:30,248.83,263.86,247.73,251.98,5964964,0.0,0.0
HSCL,2023-11-20 00:00:00+05:30,252.82,273.84,252.13,264.01,11246029,0.0,0.0
HSCL,2023-11-27 00:00:00+05:30,264.01,278.39,249.68,267.05,7834485,0.0,0.0
HSCL,2023-12-04 00:00:00+05:30,268.2,311.94,268.0,296.66,20303594,0.0,0.0
HSCL,2023-12-11 00:00:00+05:30,297.76,299.95,286.57,290.07,5269051,0.0,0.0
HSCL,2023-12-18 00:00:00+05:30,291.57,297.46,265.81,286.13,7334134,0.0,0.0
HSCL,2023-12-25 00:00:00+05:30,286.13,313.34,286.13,309.04,12781052,0.0,0.0
HSCL,2024-01-01 00:00:00+05:30,310.39,393.42,309.04,386.33,20998923,0.0,0.0
HSCL,2024-01-08 00:00:00+05:30,389.42,398.16,368.45,370.1,6313803,0.0,0.0
HSCL,2024-01-15 00:00:00+05:30,373.05,392.92,357.57,373.5,4276353,0.0,0.0
HSCL,2024-01-22 00:00:00+05:30,373.5,376.44,356.47,371.55,2253374,0.0,0.0
HSCL,2024-01-29 00:00:00+05:30,373.05,378.44,364.56,369.7,2259201,0.0,0.0
HSCL,2024-02-05 00:00:00+05:30,369.45,389.32,352.53,368.6,2639312,0.0,0.0
HSCL,2024-02-12 00:00:00+05:30,364.46,369.4,334.7,363.56,2748188,0.0,0.0
HSCL,2024-02-19 00:00:00+05:30,366.46,368.45,352.58,365.36,2569168,0.0,0.0
HSCL,2024-02-26 00:00:00+05:30,368.45,374.19,349.48,363.16,2725514,0.0,0.0
HSCL,2024-03-04 00:00:00+05:30,364.01,364.46,331.51,333.41,1849788,0.0,0.0
HSCL,2024-03-11 00:00:00+05:30,332.51,332.51,271.6,314.78,4302679,0.0,0.0
HSCL,2024-03-18 00:00:00+05:30,324.47,330.51,304.6,313.78,2016333,0.0,0.0
HSCL,2024-03-25 00:00:00+05:30,313.78,317.43,294.56,301.85,2231135,0.0,0.0
HSCL,2024-04-01 00:00:00+05:30,301.85,347.68,301.55,334.85,2461365,0.0,0.0
HSCL,2024-04-08 00:00:00+05:30,334.75,336.5,314.53,316.93,1188924,0.0,0.0
HSCL,2024-04-15 00:00:00+05:30,307.54,337.15,301.55,333.06,3234117,0.0,0.0
HSCL,2024-04-22 00:00:00+05:30,338.5,384.43,327.51,370.7,3537431,0.0,0.0
HSCL,2024-04-29 00:00:00+05:30,379.44,381.78,368.65,374.99,5290302,0.0,0.0
HSCL,2024-05-06 00:00:00+05:30,374.99,377.34,339.5,345.64,3657234,0.0,0.0
HSCL,2024-05-13 00:00:00+05:30,345.64,359.37,329.51,353.23,2341576,0.0,0.0
HSCL,2024-05-20 00:00:00+05:30,348.48,369.75,346.49,349.98,2763136,0.0,0.0
HSCL,2024-05-27 00:00:00+05:30,349.98,354.07,327.46,332.41,1807087,0.0,0.0
HSCL,2024-06-03 00:00:00+05:30,348.43,348.43,307.24,341.74,3492630,0.5,0.0
HSCL,2024-06-10 00:00:00+05:30,346.0,372.0,346.0,361.9,4815177,0.0,0.0
HSCL,2024-06-17 00:00:00+05:30,361.9,418.5,361.3,394.5,9368696,0.0,0.0
HSCL,2024-06-24 00:00:00+05:30,392.0,405.0,382.0,394.2,5858873,0.0,0.0
HSCL,2024-07-01 00:00:00+05:30,398.95,415.0,393.0,403.3,5028062,0.0,0.0
HSCL,2024-07-08 00:00:00+05:30,405.2,442.9,401.0,420.6,8549751,0.0,0.0
HSCL,2024-07-15 00:00:00+05:30,424.4,439.0,395.35,400.75,7540748,0.0,0.0
HSCL,2024-07-22 00:00:00+05:30,400.75,422.6,384.35,422.6,4904711,0.0,0.0
