Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2022-02-15 00:00:00+05:30,70.01,73.05,69.66,71.55,806991,0.0,0.0
TI,2022-02-16 00:00:00+05:30,71.45,75.09,71.45,72.9,421940,0.0,0.0
TI,2022-02-17 00:00:00+05:30,74.19,75.19,71.45,72.15,120714,0.0,0.0
TI,2022-02-18 00:00:00+05:30,72.7,73.45,71.7,72.2,70608,0.0,0.0
TI,2022-02-21 00:00:00+05:30,71.7,72.4,68.62,68.67,972386,0.0,0.0
TI,2022-02-22 00:00:00+05:30,65.38,67.47,65.28,65.28,382865,0.0,0.0
TI,2022-02-23 00:00:00+05:30,67.22,68.32,65.43,67.72,398509,0.0,0.0
TI,2022-02-24 00:00:00+05:30,64.78,66.03,64.33,64.33,282778,0.0,0.0
TI,2022-02-25 00:00:00+05:30,64.73,67.52,64.73,67.02,220974,0.0,0.0
TI,2022-02-28 00:00:00+05:30,65.73,68.42,64.48,66.67,170254,0.0,0.0
TI,2022-03-02 00:00:00+05:30,69.11,69.96,64.58,69.56,556567,0.0,0.0
TI,2022-03-03 00:00:00+05:30,70.21,72.75,70.21,71.2,152754,0.0,0.0
TI,2022-03-04 00:00:00+05:30,69.71,72.1,68.71,69.51,110932,0.0,0.0
TI,2022-03-07 00:00:00+05:30,67.72,68.62,66.08,66.18,369789,0.0,0.0
TI,2022-03-08 00:00:00+05:30,66.18,68.22,66.18,67.47,276773,0.0,0.0
TI,2022-03-09 00:00:00+05:30,69.11,69.61,67.82,69.41,207759,0.0,0.0
TI,2022-03-10 00:00:00+05:30,70.71,72.6,70.41,71.1,120342,0.0,0.0
TI,2022-03-11 00:00:00+05:30,71.7,74.59,70.71,73.2,371483,0.0,0.0
TI,2022-03-14 00:00:00+05:30,74.69,74.69,70.21,71.85,141695,0.0,0.0
TI,2022-03-15 00:00:00+05:30,72.7,73.49,68.71,70.16,327174,0.0,0.0
TI,2022-03-16 00:00:00+05:30,71.3,72.15,69.21,69.56,103567,0.0,0.0
TI,2022-03-17 00:00:00+05:30,71.6,72.95,70.21,72.0,172899,0.0,0.0
TI,2022-03-21 00:00:00+05:30,72.1,74.49,71.7,72.6,205430,0.0,0.0
TI,2022-03-22 00:00:00+05:30,73.59,73.84,72.25,72.7,116062,0.0,0.0
TI,2022-03-23 00:00:00+05:30,73.69,74.19,69.96,71.85,183734,0.0,0.0
TI,2022-03-24 00:00:00+05:30,73.3,73.3,69.36,70.51,123884,0.0,0.0
TI,2022-03-25 00:00:00+05:30,72.55,72.55,67.72,68.02,112526,0.0,0.0
TI,2022-03-28 00:00:00+05:30,68.96,69.66,65.73,66.42,281291,0.0,0.0
TI,2022-03-29 00:00:00+05:30,66.62,68.96,66.37,66.82,482364,0.0,0.0
TI,2022-03-30 00:00:00+05:30,68.67,68.67,66.82,67.32,98593,0.0,0.0
TI,2022-03-31 00:00:00+05:30,68.52,68.52,65.23,66.37,147537,0.0,0.0
TI,2022-04-01 00:00:00+05:30,67.42,69.26,66.47,68.22,111654,0.0,0.0
TI,2022-04-04 00:00:00+05:30,69.71,71.6,69.36,71.45,248430,0.0,0.0
TI,2022-04-05 00:00:00+05:30,72.25,74.49,70.36,73.05,262949,0.0,0.0
TI,2022-04-06 00:00:00+05:30,74.64,75.19,72.4,73.4,141082,0.0,0.0
TI,2022-04-07 00:00:00+05:30,74.49,74.69,72.3,73.1,114676,0.0,0.0
TI,2022-04-08 00:00:00+05:30,73.69,74.19,70.36,71.35,275595,0.0,0.0
TI,2022-04-11 00:00:00+05:30,73.1,73.69,71.7,72.9,333842,0.0,0.0
TI,2022-04-12 00:00:00+05:30,74.14,74.14,70.51,71.2,92930,0.0,0.0
TI,2022-04-13 00:00:00+05:30,72.95,73.05,71.2,71.65,117850,0.0,0.0
TI,2022-04-18 00:00:00+05:30,71.65,72.6,69.71,70.66,65703,0.0,0.0
TI,2022-04-19 00:00:00+05:30,71.7,71.7,67.97,68.57,125983,0.0,0.0
TI,2022-04-20 00:00:00+05:30,69.41,70.96,68.12,68.47,100076,0.0,0.0
