Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2023-10-02 00:00:00+05:30,202.37,217.6,201.67,212.76,1578219,0.0,0.0
TI,2023-10-09 00:00:00+05:30,212.51,226.63,206.52,217.25,2229697,0.0,0.0
TI,2023-10-16 00:00:00+05:30,219.1,223.44,206.27,213.8,1654067,0.0,0.0
TI,2023-10-23 00:00:00+05:30,213.16,214.8,176.71,203.62,2455278,0.0,0.0
TI,2023-10-30 00:00:00+05:30,204.67,247.85,197.93,242.51,12994815,0.0,0.0
TI,2023-11-06 00:00:00+05:30,242.51,265.32,240.61,248.6,10301715,0.0,0.0
TI,2023-11-13 00:00:00+05:30,254.89,284.44,248.65,271.51,7996291,0.0,0.0
TI,2023-11-20 00:00:00+05:30,273.06,290.93,251.14,260.08,12813548,0.0,0.0
TI,2023-11-27 00:00:00+05:30,260.08,278.55,250.1,270.56,6414855,0.0,0.0
TI,2023-12-04 00:00:00+05:30,274.56,276.05,254.69,256.84,2438786,0.0,0.0
TI,2023-12-11 00:00:00+05:30,256.89,261.78,250.6,250.9,2355080,0.0,0.0
TI,2023-12-18 00:00:00+05:30,252.19,253.29,233.07,237.52,4510181,0.0,0.0
TI,2023-12-25 00:00:00+05:30,237.52,247.3,237.52,240.56,2063711,0.0,0.0
TI,2024-01-01 00:00:00+05:30,239.71,255.39,236.47,251.44,3081741,0.0,0.0
TI,2024-01-08 00:00:00+05:30,253.09,263.08,247.6,256.59,4546910,0.0,0.0
TI,2024-01-15 00:00:00+05:30,258.38,258.88,235.92,244.71,2166880,0.0,0.0
TI,2024-01-22 00:00:00+05:30,244.71,245.1,236.12,238.37,1187017,0.0,0.0
TI,2024-01-29 00:00:00+05:30,240.21,253.59,236.57,250.5,3049257,0.0,0.0
TI,2024-02-05 00:00:00+05:30,237.62,252.89,220.29,245.6,8236351,0.0,0.0
TI,2024-02-12 00:00:00+05:30,248.6,256.59,227.53,233.42,5334083,0.0,0.0
TI,2024-02-19 00:00:00+05:30,234.62,236.47,221.64,227.13,1544168,0.0,0.0
TI,2024-02-26 00:00:00+05:30,229.23,229.33,211.61,216.05,2608469,0.0,0.0
TI,2024-03-04 00:00:00+05:30,215.5,218.9,199.48,204.52,1844184,0.0,0.0
TI,2024-03-11 00:00:00+05:30,204.67,206.57,181.76,194.59,5499487,0.0,0.0
TI,2024-03-18 00:00:00+05:30,194.69,201.23,186.95,198.58,3253276,0.0,0.0
TI,2024-03-25 00:00:00+05:30,198.58,225.09,194.84,210.16,5937751,0.0,0.0
TI,2024-04-01 00:00:00+05:30,212.16,222.59,211.66,217.95,1988348,0.0,0.0
TI,2024-04-08 00:00:00+05:30,223.64,238.02,213.56,233.02,4525453,0.0,0.0
TI,2024-04-15 00:00:00+05:30,228.63,230.68,219.7,223.44,2200706,0.0,0.0
TI,2024-04-22 00:00:00+05:30,225.64,243.21,225.54,231.48,2697722,0.0,0.0
TI,2024-04-29 00:00:00+05:30,233.67,243.81,229.43,236.07,2434442,0.0,0.0
TI,2024-05-06 00:00:00+05:30,237.02,237.47,214.25,219.15,1960775,0.0,0.0
TI,2024-05-13 00:00:00+05:30,219.65,244.51,211.76,242.31,1936256,0.0,0.0
TI,2024-05-20 00:00:00+05:30,233.17,244.16,215.0,230.38,3816429,0.0,0.0
TI,2024-05-27 00:00:00+05:30,229.63,235.62,219.0,229.43,2332787,0.0,0.0
TI,2024-06-03 00:00:00+05:30,244.61,275.95,201.72,267.62,12682150,0.0,0.0
TI,2024-06-10 00:00:00+05:30,267.67,288.43,264.53,268.28,6529964,0.0,0.0
TI,2024-06-17 00:00:00+05:30,268.28,283.24,261.7,263.03,4161495,0.0,0.0
TI,2024-06-24 00:00:00+05:30,260.58,262.48,242.21,250.56,2983891,0.0,0.0
TI,2024-07-01 00:00:00+05:30,251.94,253.04,240.91,246.2,3124257,0.0,0.0
TI,2024-07-08 00:00:00+05:30,247.2,248.35,231.63,232.42,3160228,0.0,0.0
TI,2024-07-15 00:00:00+05:30,234.32,254.59,228.63,239.31,4970926,0.0,0.0
TI,2024-07-22 00:00:00+05:30,238.61,261.58,225.19,250.05,4928696,0.0,0.0
TI,2024-07-29 00:00:00+05:30,250.05,266.07,244.8,250.0,4504852,0.0,0.0
TI,2024-08-05 00:00:00+05:30,243.61,244.16,230.63,240.01,2269952,0.0,0.0
TI,2024-08-12 00:00:00+05:30,238.61,259.98,223.89,225.29,6486317,0.0,0.0
TI,2024-08-19 00:00:00+05:30,225.34,251.69,225.34,247.65,4367648,0.0,0.0
TI,2024-08-26 00:00:00+05:30,249.1,279.25,247.2,273.91,9444247,0.0,0.0
TI,2024-09-02 00:00:00+05:30,276.25,313.99,275.66,298.92,28386014,0.0,0.0
TI,2024-09-09 00:00:00+05:30,300.42,329.37,295.12,317.99,13880102,0.0,0.0
TI,2024-09-16 00:00:00+05:30,320.33,326.17,300.61,315.69,9742163,0.5,0.0
TI,2024-09-23 00:00:00+05:30,316.2,319.95,290.0,291.35,4676136,0.0,0.0
TI,2024-09-30 00:00:00+05:30,291.3,306.0,277.5,285.4,3839527,0.0,0.0
TI,2024-10-07 00:00:00+05:30,287.2,310.95,265.6,305.6,5380717,0.0,0.0
TI,2024-10-14 00:00:00+05:30,306.7,318.0,294.55,301.25,3539562,0.0,0.0
TI,2024-10-21 00:00:00+05:30,301.25,302.6,265.3,267.75,3034730,0.0,0.0
TI,2024-10-28 00:00:00+05:30,272.05,298.0,266.1,294.35,1844404,0.0,0.0
TI,2024-11-04 00:00:00+05:30,295.5,364.5,285.45,347.75,37693645,0.0,0.0
TI,2024-11-11 00:00:00+05:30,350.0,354.9,325.05,338.65,4672202,0.0,0.0
TI,2024-11-18 00:00:00+05:30,340.0,358.0,333.0,348.8,4306522,0.0,0.0
TI,2024-11-25 00:00:00+05:30,358.0,428.9,352.75,409.0,21368684,0.0,0.0
